EventID,RecordID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,T001,2026-07-15 09:15,Student,AddExpense,Mobile,4,FR-03
E002,T001,2026-07-15 09:20,Student,ViewTransaction,Laptop,2,FR-07
E003,T001,2026-07-16 10:10,Student,EditExpense,Laptop,5,FR-08
E004,T002,2026-07-15 12:25,Student,AddIncome,Mobile,3,FR-03
E005,T002,2026-07-16 13:20,Student,SearchTransaction,Mobile,2,FR-06
E006,T002,2026-07-18 15:00,Student,EditIncome,Laptop,4,FR-08
E007,T003,2026-07-16 08:45,Student,AddExpense,Desktop,5,FR-03
E008,T003,2026-07-16 09:10,Student,ViewTransaction,Mobile,2,FR-07
E009,T004,2026-07-16 14:05,Student,AddExpense,Laptop,4,FR-03
E010,T004,2026-07-20 16:05,Student,EditExpense,Laptop,5,FR-08
E011,T005,2026-07-17 11:30,Student,SearchTransaction,Mobile,2,FR-06
E012,T005,2026-07-17 11:45,Student,ViewTransaction,Mobile,2,FR-07
E013,T006,2026-07-17 10:00,Student,AddIncome,Desktop,4,FR-03
E014,T006,2026-07-18 10:25,Student,ViewDashboard,Laptop,2,FR-12
E015,T006,2026-07-20 14:30,Student,EditIncome,Laptop,5,FR-08
E016,T007,2026-07-18 13:00,Student,AddExpense,Mobile,3,FR-03
E017,T007,2026-07-20 09:00,Student,EditExpense,Laptop,4,FR-08
E018,T008,2026-07-18 17:15,Student,AddExpense,Mobile,4,FR-03
E019,T008,2026-07-19 09:25,Student,SearchTransaction,Mobile,2,FR-06
E020,T009,2026-07-19 12:50,Student,AddIncome,Laptop,4,FR-03
E021,T009,2026-07-20 12:10,Student,SearchTransaction,Mobile,2,FR-06
E022,T009,2026-07-21 10:00,Student,EditIncome,Laptop,5,FR-08
E023,T010,2026-07-19 16:10,Student,AddExpense,Mobile,5,FR-03
E024,T010,2026-07-22 15:40,Student,ViewDashboard,Laptop,2,FR-12
E025,T011,2026-07-20 09:30,Student,AddIncome,Desktop,4,FR-03
E026,T011,2026-07-23 13:15,Student,EditIncome,Laptop,4,FR-08
E027,T012,2026-07-20 18:10,Student,AddExpense,Mobile,5,FR-03
E028,T012,2026-07-23 10:10,Student,SearchTransaction,Mobile,2,FR-06
E029,T013,2026-07-21 08:20,Student,AddExpense,Desktop,4,FR-03
E030,T013,2026-07-22 11:00,Student,EditExpense,Laptop,5,FR-08
E031,T014,2026-07-21 15:15,Student,AddIncome,Mobile,3,FR-03
E032,T014,2026-07-24 09:15,Student,SearchTransaction,Mobile,2,FR-06
E033,T015,2026-07-22 11:25,Student,AddExpense,Laptop,4,FR-03
E034,T015,2026-07-24 10:00,Student,EditExpense,Laptop,5,FR-08
E035,T005,2026-07-24 13:10,Student,ViewDashboard,Mobile,2,FR-12
E036,T014,2026-07-24 14:25,Student,ViewDashboard,Laptop,2,FR-12
