record_id,record_type,title,category,payment_method,date_recorded,status,submitted_by_role,last_updated,notes
BT-001,Expense,Lunch at Cafeteria,Food,Cash,2026-07-20,Recorded,Student,2026-07-20,Lunch with classmates
BT-002,Expense,Bus Fare,Transportation,QR Payment,2026-07-21,Recorded,Student,2026-07-21,Daily commute to university
BT-003,Expense,Programming Book,Education,Debit Card,2026-07-22,Verified,Student,2026-07-23,Book purchased for ICT course
BT-004,Expense,Electricity Bill,Utilities,Bank Transfer,2026-07-23,Approved,Admin,2026-07-24,Monthly utility payment
BT-005,Expense,Coffee,Food,Cash,2026-07-24,Recorded,Student,2026-07-24,Afternoon coffee break
BT-006,Expense,Movie Ticket,Entertainment,Credit Card,2026-07-25,Recorded,Student,2026-07-25,Weekend entertainment
BT-007,Expense,Medical Checkup,Healthcare,Cash,2026-07-26,Verified,Student,2026-07-27,Routine health check
BT-008,Expense,Internet Bill,Utilities,Bank Transfer,2026-07-27,Approved,Admin,2026-07-28,Monthly internet subscription
BT-009,Expense,Notebook and Pens,Education,Debit Card,2026-07-28,Recorded,Student,2026-07-28,Stationery for university
BT-010,Expense,Taxi Fare,Transportation,Cash,2026-07-29,Recorded,Student,2026-07-29,Travel to campus
